"qq","troopid"
"1003967563","100217277"
"123565320","100318499"
"78213674","10038609"
"50744966","10047892"
"965878701","1005010651"
"1005010651","1005010651"
"1005189906","1005189906"
"8567000","1005189906"
"934079977","1005189906"
"1049575798","100583035"
"1770204276","100925869"
"112336843","100925869"
"343116351","100925869"
"928206461","100925869"
"429431262","100925869"
"752565002","100925869"
"378198662","100925869"
"86884831","100925869"
"465479436","100925869"
"466338382","100925869"
"241166456","100925869"
"191924249","100925869"
"13728193299","100925869"
"2632821892","100925869"
"46318139","100925869"
"58825067","100925869"
"105469364","100925869"
"772560606","100925869"
"1926866209","100925869"
"164532925","100925869"
"285833600","100925869"
"236010426","100925869"
"29076154","100925869"
"417989593","100925869"
"241549675","100925869"
"397770143","100925869"
"283494709","100925869"
"1065421073","100925869"
"18866244","100925869"
"610731954","100925869"
"710161247","100925869"
"35720447","100925869"
"249744437","100925869"
"464833295","100925869"
"418387622","100925869"
"8567000","100925869"
"2541204180","100925869"
"526880783","100925869"
"303935377","100925869"
"2890609465","100925869"
"501394623","100925869"
"273932190","100925869"
"2059416288","100925869"
"405757230","100925869"
"532260533","100925869"
"905956329","100925869"
"549637403","100925869"
"89159824","100925869"
"2278808882","100925869"
"772311493","100925869"
"2538278946","100925869"
"413590015","100925869"
"624065862","100925869"
"522952132","100925869"
"119872993","100925869"
"2607989","100925869"
"519174658","100925869"
"278804926","100925869"
"2584416357","100925869"
"2035247169","100925869"
"515524038","100925869"
"1240974724","100925869"
"673107275","100925869"
"375153454","100925869"
"644518987","100925869"
"2791650308","100925869"
"1772829630","100925869"
"532403582","100925869"
"819535060","100925869"
"1119849225","100925869"
"137640169","100925869"
"2274240538","100925869"
"418346471","100925869"
"296128760","100925869"
"1263225818","100925869"
"1240783020","100925869"
"2048149759","100925869"
"1536078764","100925869"
"187039691","100925869"
"278596156","100925869"
"50021444","100925869"
"1478106277","100925869"
"1711282612","100925869"
"120054104","100925869"
"278547577","100925869"
"2995185986","100925869"
"905748172","100925869"
"1009543367","1009543367"
"774578892","1009543367"
"3301002","101037243"
"344931534","1010641748"
"76062115","1010641748"
"1010641748","1010641748"
"1010800695","1010800695"
"2978288306","1010800695"
"1050190757","101139195"
"6369313","101168049"
"61936810","101268155"
"529247486","101382330"
"76062115","101382330"
"919672318","101382330"
"1223067171","101398188"
"182391655","1015673320"
"379586337","101576591"
"6966306","101586804"
"1097134683","101664755"
"1003967563","101664755"
"49257953","101664755"
"719525110","101770323"
"2087814705","101770323"
"29997599","101770323"
"2691693391","101770323"
"346317668","101770323"
"504724596","101770323"
"3230167640","101770323"
"675613246","101770323"
"153513286","101770323"
"2735736501","101770323"
"2978288306","101770323"
"815703600","101770323"
"735758842","101770323"
"469746780","101770323"
"919672318","101770323"
"1240498575","101770323"
"459059597","101770323"
"3301002","101770323"
"329536764","101770323"
"947217598","101770323"
"591953739","101770323"
"3054767703","101770323"
"563148939","101770323"
"575755228","101770323"
"137060772","101770323"
"415302993","101770323"
"919672318","101868241"
"827302928","101868241"
"32016752","101868241"
"2322733037","101961329"
"2499978394","101985770"
"1399635671","101985770"
"005412","102038086"
"0054485","102038086"
"006135","102038086"
"1015326636","102038086"
"1121867546","102038086"
"1136371457","102038086"
"123314358","102038086"
"1260435327","102038086"
"1279677620","102038086"
"13185472","102038086"
"1362862607","102038086"
"146623820","102038086"
"1474176181","102038086"
"1497617936","102038086"
"18100000000","102038086"
"1969669416","102038086"
"1989489169","102038086"
"1994643979","102038086"
"1nul","102038086"
"2030140549","102038086"
"2141657137","102038086"
"2217994437","102038086"
"232889966","102038086"
"2372004687","102038086"
"2380732844","102038086"
"2777157369","102038086"
"315960706","102038086"
"3159607065","102038086"
"3248058617","102038086"
"3259628059","102038086"
"3265673800","102038086"
"329604761","102038086"
"329604761","102038086"
"3332820779","102038086"
"350024762","102038086"
"360247284","102038086"
"361905092","102038086"
"3919618","102038086"
"397802908","102038086"
"417027921","102038086"
"441806327","102038086"
"4708774","102038086"
"5005693","102038086"
"654944545","102038086"
"75290113","102038086"
"871391426","102038086"
"2631090252","102038086"
"491744172","102038086"
"235419213","102038086"
"1770204276","102038086"
"965878701","102038086"
"81358612","102038086"
"250228854","102038086"
"429431262","102038086"
"2637246460","102038086"
"642919602","102038086"
"465479436","102038086"
"158581312","102038086"
"278674772","102038086"
"65173194","102038086"
"13728193299","102038086"
"2632821892","102038086"
"378394056","102038086"
"329323003","102038086"
"2856361523","102038086"
"1044019306","102038086"
"423024226","102038086"
"108647839","102038086"
"48221093","102038086"
"573241759","102038086"
"1318336842","102038086"
"1926866209","102038086"
"1820181062","102038086"
"25365469","102038086"
"164532925","102038086"
"236010426","102038086"
"1657303215","102038086"
"2024053415","102038086"
"181066456","102038086"
"417989593","102038086"
"294578666","102038086"
"1306752689","102038086"
"2807529940","102038086"
"75618488","102038086"
"942619856","102038086"
"544312087","102038086"
"528763290","102038086"
"35928316","102038086"
"464833295","102038086"
"1057493808","102038086"
"380083443","102038086"
"8567000","102038086"
"416098970","102038086"
"526880783","102038086"
"2694463932","102038086"
"104794153","102038086"
"121488238","102038086"
"1419576909","102038086"
"615565829","102038086"
"40030077","102038086"
"1912299413","102038086"
"6990568","102038086"
"1024427668","102038086"
"2742035712","102038086"
"298002212","102038086"
"772311493","102038086"
"375266431","102038086"
"79208087","102038086"
"30179503","102038086"
"2538278946","102038086"
"51213456","102038086"
"915118890","102038086"
"7378710","102038086"
"240168889","102038086"
"278804926","102038086"
"226113873","102038086"
"80512096","102038086"
"425922150","102038086"
"2584416357","102038086"
"515524038","102038086"
"283356364","102038086"
"1220691556","102038086"
"148270559","102038086"
"15426920","102038086"
"632735406","102038086"
"1828487379","102038086"
"309380905","102038086"
"347687676","102038086"
"835547524","102038086"
"819535060","102038086"
"251054761","102038086"
"2274240538","102038086"
"472314571","102038086"
"1790092568","102038086"
"1240783020","102038086"
"1834249106","102038086"
"448770934","102038086"
"975612071","102038086"
"120054104","102038086"
"772507465","102038086"
"10727975","102140207"
"771959459","102180672"
"329752223","102307961"
"782432767","102392396"
"182391655","1024427668"
"1024427668","1024427668"
"59386414","1024507364"
"455827332","102459027"
"77382533","102459027"
"39758165","102459027"
"1047100869","102459027"
"919672318","10255707"
"768667902","10255707"
"6739381","10261475"
"1719105946","102697804"
"10157381","10289147"
"10727975","102914223"
"2371296097","102914223"
"251054761","102914223"
"312082020","103069934"
"895506727","103147806"
"2273047975","10324401"
"1243938160","10324401"
"6739381","10324555"
"414634157","103354838"
"1973178561","103354838"
"1746337164","103354838"
"148270559","103354838"
"1330450077","103354838"
"1723775119","103354838"
"408208659","103384160"
"1070774041","103417006"
"57454260","103429604"
"644834982","103479732"
"2906862033","10358107"
"376066421","103587601"
"6966306","103635090"
"554468816","10377055"
"123932550","103811742"
"772066568","103811742"
"6966306","103811742"
"670653122","104043931"
"771959459","104138806"
"771959459","104238364"
"0000000013052525","104251671"
"1362594634","104307147"
"65942397","1043544"
"702245370","104473096"
"1550015876","104490505"
"1113267936","104490505"
"273518673","10451442"
"308055998","104619644"
"1173290764","104632607"
"2843694462","104632607"
"10157381","104664187"
"32016752","104834192"
"200950574","104853932"
"476392996","1048633228"
"2669034043","104998921"
"1695736","1050546"
"670653122","105057075"
"1279677620","105073892"
"1184271024","105073892"
"1052846408","105073892"
"2604176688","105073892"
"513594311","105073892"
"752565002","105073892"
"244101548","105073892"
"313718967","105073892"
"2632821892","105073892"
"564427703","105073892"
"29997599","105073892"
"1820181062","105073892"
"2024053415","105073892"
"504292481","105073892"
"723810337","105073892"
"942619856","105073892"
"8567000","105073892"
"3070895002","105073892"
"35209963","105073892"
"2694463932","105073892"
"19094436","105073892"
"1607300211","105073892"
"1481808655","105073892"
"9793530","105073892"
"362089002","105073892"
"2742035712","105073892"
"298002212","105073892"
"408972894","105073892"
"554468816","105073892"
"506376405","105073892"
"64901810","105073892"
"278804926","105073892"
"1613851414","105073892"
"1666039449","105073892"
"2584416357","105073892"
"15426920","105073892"
"175258552","105073892"
"418346471","105073892"
"187039691","105073892"
"2419109329","105073892"
"2632821892","105074493"
"2099276487","105074493"
"1003967563","105074493"
"276567216","105074493"
"271144696","105074493"
"2747497296","10519733"
"19094436","10519733"
"1481808655","10519733"
"418491329","10519733"
"86029848","10519733"
"1240974724","10519733"
"527736189","10519733"
"307970206","10519733"
"464833295","105221059"
"768667902","105234482"
"","105240338"
"3101262254","105240338"
"1176923226","105240338"
"2208060442","105240338"
"582945797","105240338"
"405059254","105240338"
"316671740","105240338"
"601336107","105240338"
"571836057","105240338"
"937340609","105240338"
"75587442","105240338"
"298002212","105240338"
"82336489","105240338"
"125344593","105240338"
"86029848","105240338"
"2206395433","105240338"
"840480907","105240338"
"395160369","105240338"
"1278604920","105240338"
"39758165","105240338"
"249673824","105240338"
"290209854","105240338"
"1005189906","105328315"
"574880094","105328805"
"1141050022","105328805"
"2104456191","105328805"
"1903148857","105328805"
"1261143099","105355600"
"574880094","105440071"
"3037912595","105440071"
